user_id,round_idx,song_id,track_name,rating
U0001,1,4l0RmWt52FxpVxMNni6i63,you broke me first,4
U0001,2,4Dvkj6JhhA12EX05fT7y2e,As It Was,4
U0001,3,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,3
U0001,4,1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,5
U0001,5,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,4
U0001,6,7MXVkk9YMctZqd1Srtv4MB,Starboy,4
U0001,7,3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA) - From "Black Panther: The Album",5
U0001,8,4ml4WlnHDEpOK8HRVYTCWf,drivers license,4
U0001,9,4ZtFanR9U6ndgddUvNcjcG,good 4 u,3
U0001,10,5R9a4t5t5O0IsznsrKPVro,Single Ladies (Put a Ring on It),3
U0001,11,1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor’s Version),2
U0001,12,6IPwKM3fUUzlElbvKw2sKl,we fell in love in october,3
U0001,13,4pt5fDVTg5GhEvEtlz9dKk,I WANNA BE YOUR SLAVE,3
U0001,14,58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,3
U0001,15,0TK2YIli7K1leLovkQiNik,Señorita,2
U0001,16,27rdGxbavYJeBphck5MZAF,Nothing Breaks Like a Heart (feat. Miley Cyrus),3
U0001,17,2lIgUGoKAZUBfd2LmcHZIC,Bloody Mary,4
U0001,18,2xql0pid3EUwW38AsywxhV,Reflections,3
U0001,19,00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),3
U0001,20,4jAIqgrPjKLTY9Gbez25Qb,Lights Up,2
U0001,21,60wwxj6Dd9NJlirf84wr2c,Clarity,2
U0001,22,5AGQSF0ytihJyt96K5vW9d,Heartbeat,4
U0001,23,0l0CvurVUrr2w3Jj1hOVFc,NO,1
U0001,24,48QmG1dfvMuYLxMPt7KSRA,No Lie,2
U0001,25,1MgV7FIyNxIG7WzMRJV5HC,my tears ricochet,3
U0001,26,7AEAGTc8cReDqcbPoY9gwo,We Are Never Ever Getting Back Together,2
U0001,27,6N22FZs2ZhPBYi3b9XPajV,Still Don't Know My Name,3
U0001,28,6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),1
U0001,29,4fixebDZAVToLbUCuEloa2,Womanizer,3
U0001,30,5I79GNku8Oa7dhfM9ZOmuZ,Black and Yellow,3
U0001,31,2N8m6CYs74qQO4mjVcXO30,Dance Monkey,1
U0001,32,3xKsf9qdS1CyvXSMEid6g8,Pink + White,4
U0001,33,1JBgWfT7LtGDVqkZLnTIUr,I Love It,3
U0001,34,1oFAF1hdPOickyHgbuRjyX,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,4
U0001,35,6bnF93Rx87YqUBLSgjiMU8,Heartless,3
U0001,36,4F7A0DXBrmUAkp32uenhZt,Party Monster,3
U0001,37,4PMqSO5qyjpvzhlLI5GnID,Good Days,3
U0001,38,3BJe4B8zGnqEdQPMvfVjuS,Summertime Sadness,2
U0001,39,7lAoovVf67mECK18oOpJbc,Love You Like A Love Song,2
U0001,40,4n7jnSxVLd8QioibtTDBDq,On My Way,3
U0001,41,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,2
U0001,42,2yLa0QULdQr0qAIvVwN6B5,...Ready For It?,2
