user_id,round_idx,song_id,track_name,rating
U0003,1,6hf0RpxTbOprT5nnwzkk8e,Qué Más Pues?,4
U0003,2,7yNf9YjeO5JXUE3JEBgnYc,Babydoll,4
U0003,3,20R4HfKloPKgXDqU7UKk3x,Therefore I Am,3
U0003,4,1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),5
U0003,5,5JVbvCHX10U2pLa5DEqGav,Safe and Sound,2
U0003,6,1cS0TgbR263ey9jn0MwD2s,River (feat. Ed Sheeran),5
U0003,7,1v1oIWf2Xgh54kIWuKsDf6,Runaway,4
U0003,8,1oew3nFNY3vMacJAsvry0S,Me And My Broken Heart,5
U0003,9,2G1tXoGBaEMJ7FKGnkf6ud,Wake Up in the Sky,2
U0003,10,2X6b7zLdIxCejd6GqVcQ9M,3005,3
U0003,11,7k4t7uLgtOxPwTpFmtJNTY,Tusa,5
U0003,12,7npLlaPu9Mfno8hjk5OagD,Girls Like You,4
U0003,13,1tg0hS3Vw3HpKYD6FIGgDn,The Nights,2
U0003,14,0AUyNF6iFxMNQsNx2nhtrw,Blood // Water,5
U0003,15,3iVcZ5G6tvkXZkZKlMpIUs,Alright,5
U0003,16,2Bhmj4XK33InfhqKPxcJ1v,Dile al Amor,4
U0003,17,71iAechwVKGu26pahzFL0k,Cuando Nadie Ve,3
U0003,18,1000nHvUdawXuUHgBod4Wv,Panini,2
U0003,19,7rbECVPkY5UODxoOUVKZnA,I Wonder,1
U0003,20,1iRvhKiXRElIH2Uf4gd95P,Dueles,5
